Fig  3e,,,,"Note from author: 1. The blank cells indicate  the calculated NO2 binding energy was not exothermic under the corresponding {pH,potential}, implying no adsorption; thus, no value is reported and leave with blank.",
Model Data,,,,,2. Reader may find certain potential-pH ranges are duplicated; This is because NO2 binding was calculated separately on both TTM and CuNP for streamlined data analysis and visualization. Further details are provided in the Python code.
pH value,Potential of TTM (V vs. RHE),NO2 binding energy of TTM (kJ mol-1),NO2 binding energy of CuNP (kJ mol-1),,
7.8,-2.85,-10.5466,,,
7.9,-2.85,-11.1205,,,
8.0,-2.85,-11.6945,,,
8.1,-2.85,-12.2685,,,
8.2,-2.85,-12.8424,,,
8.3,-2.85,-13.4164,,,
8.4,-2.85,-13.9904,,,
8.5,-2.85,-14.5643,,,
8.6,-2.85,-15.1383,,,
8.7,-2.85,-15.7123,,,
8.8,-2.85,-16.2862,,,
8.9,-2.85,-16.8602,,,
9.0,-2.85,-17.4342,,,
9.1,-2.85,-18.0081,,,
9.2,-2.85,-18.5821,,,
9.3,-2.85,-19.1561,,,
9.4,-2.85,-19.73,,,
9.5,-2.85,-20.304,,,
9.6,-2.85,-20.878,,,
9.7,-2.85,-21.4519,,,
9.8,-2.85,-22.0259,,,
9.9,-2.85,-22.5999,,,
10.0,-2.85,-23.1739,,,
10.1,-2.85,-23.7478,,,
10.2,-2.85,-24.3218,,,
10.3,-2.85,-24.8958,,,
10.4,-2.85,-25.4697,,,
10.5,-2.85,-26.0437,,,
10.6,-2.85,-26.6177,,,
10.7,-2.85,-27.1916,,,
10.8,-2.85,-27.7656,,,
10.9,-2.85,-28.3396,,,
11.0,-2.85,-28.9135,,,
11.1,-2.85,-29.4875,,,
11.2,-2.85,-30.0615,,,
11.3,-2.85,-30.6354,,,
11.4,-2.85,-31.2094,,,
11.5,-2.85,-31.7834,,,
11.6,-2.85,-32.3573,,,
11.7,-2.85,-32.9313,,,
11.8,-2.85,-33.5053,,,
11.9,-2.85,-34.0792,,,
12.0,-2.85,-34.6532,,,
6.0,-2.85,-0.21516,,,
6.1,-2.85,-0.78913,,,
6.2,-2.85,-1.36309,,,
6.3,-2.85,-1.93706,,,
6.4,-2.85,-2.51103,,,
6.5,-2.8,-3.085,,,
6.6,-2.8,-3.65896,,,
6.7,-2.8,-4.23293,,,
6.8,-2.8,-4.8069,,,
6.9,-2.8,-5.38087,,,
7.0,-2.8,-5.95483,,,
7.1,-2.8,-6.5288,,,
7.2,-2.8,-7.10277,,,
7.3,-2.8,-7.67673,,,
7.4,-2.8,-8.2507,,,
7.5,-2.8,-8.82467,,,
7.6,-2.8,-9.39864,,,
7.7,-2.8,-9.9726,,,
7.8,-2.8,-10.5466,,,
7.9,-2.8,-11.1205,,,
8.0,-2.8,-11.6945,,,
8.1,-2.8,-12.2685,,,
