Fig  3d,,,"Note from author: The {pH,potential} ranges are included only when the calculated NO2 binding energy is exothermic (favorable for adsorption)."
Model Data,,,
pH value,Potential of CuNP  (V vs. RHE),NO2 binding energy of CuNP (kJ mol-1),
10.8,-1.11E-14,-42.0527,
10.9,-1.11E-14,-42.6267,
11,-1.11E-14,-43.2007,
11.1,-1.11E-14,-43.7746,
11.2,-1.11E-14,-44.3486,
11.3,-1.11E-14,-44.9226,
11.4,-1.11E-14,-45.4965,
11.5,-1.11E-14,-46.0705,
11.6,-1.11E-14,-46.6445,
11.7,-1.11E-14,-47.2184,
11.8,-1.11E-14,-47.7924,
11.9,-1.11E-14,-48.3664,
12,-1.11E-14,-48.9404,
4.9,0.05,-11.8774,
5,0.05,-12.4513,
5.1,0.05,-13.0253,
5.2,0.05,-13.5993,
5.3,0.05,-14.1732,
5.4,0.05,-14.7472,
5.5,0.05,-15.3212,
5.6,0.05,-15.8951,
5.7,0.05,-16.4691,
5.8,0.05,-17.0431,
5.9,0.05,-17.617,
6,0.05,-18.191,
6.1,0.05,-18.765,
6.2,0.05,-19.3389,
6.3,0.05,-19.9129,
6.4,0.05,-20.4869,
6.5,0.05,-21.0608,
6.6,0.05,-21.6348,
6.7,0.05,-22.2088,
6.8,0.05,-22.7828,
6.9,0.05,-23.3567,
7,0.05,-23.9307,
7.1,0.05,-24.5047,
7.2,0.05,-25.0786,
7.3,0.05,-25.6526,
7.4,0.05,-26.2266,
7.5,0.05,-26.8005,
7.6,0.05,-27.3745,
7.7,0.05,-27.9485,
7.8,0.05,-28.5224,
7.9,0.05,-29.0964,
8,0.05,-29.6704,
8.1,0.05,-30.2443,
8.2,0.05,-30.8183,
8.3,0.05,-31.3923,
8.4,0.05,-31.9662,
8.5,0.05,-32.5402,
8.6,0.05,-33.1142,
8.7,0.05,-33.6881,
8.8,0.05,-34.2621,
8.9,0.05,-34.8361,
9,0.05,-35.41,
9.1,0.05,-35.984,
9.2,0.05,-36.558,
9.3,0.05,-37.1319,
9.4,0.05,-37.7059,
9.5,0.05,-38.2799,
9.6,0.05,-38.8538,
9.7,0.05,-39.4278,
9.8,0.05,-40.0018,
9.9,0.05,-40.5757,
10,0.05,-41.1497,
10.1,0.05,-41.7237,
10.2,0.05,-42.2976,
10.3,0.05,-42.8716,
10.4,0.05,-43.4456,
10.5,0.05,-44.0195,
10.6,0.05,-44.5935,
10.7,0.05,-45.1675,
10.8,0.05,-45.7414,
10.9,0.05,-46.3154,
11,0.05,-46.8894,
11.1,0.05,-47.4633,
11.2,0.05,-48.0373,
11.3,0.05,-48.6113,
11.4,0.05,-49.1852,
11.5,0.05,-49.7592,
11.6,0.05,-50.3332,
11.7,0.05,-50.9071,
11.8,0.05,-51.4811,
11.9,0.05,-52.0551,
12,0.05,-52.629,
4.9,0.1,-15.5661,
5,0.1,-16.14,
5.1,0.1,-16.714,
5.2,0.1,-17.288,
5.3,0.1,-17.8619,
5.4,0.1,-18.4359,
5.5,0.1,-19.0099,
5.6,0.1,-19.5838,
5.7,0.1,-20.1578,
5.8,0.1,-20.7318,
5.9,0.1,-21.3057,
6,0.1,-21.8797,
6.1,0.1,-22.4537,
6.2,0.1,-23.0276,
6.3,0.1,-23.6016,
6.4,0.1,-24.1756,
6.5,0.1,-24.7495,
6.6,0.1,-25.3235,
6.7,0.1,-25.8975,
6.8,0.1,-26.4714,
6.9,0.1,-27.0454,
7,0.1,-27.6194,
7.1,0.1,-28.1933,
7.2,0.1,-28.7673,
7.3,0.1,-29.3413,
7.4,0.1,-29.9153,
7.5,0.1,-30.4892,
7.6,0.1,-31.0632,
7.7,0.1,-31.6372,
7.8,0.1,-32.2111,
7.9,0.1,-32.7851,
8,0.1,-33.3591,
8.1,0.1,-33.933,
8.2,0.1,-34.507,
8.3,0.1,-35.081,
8.4,0.1,-35.6549,
8.5,0.1,-36.2289,
8.6,0.1,-36.8029,
8.7,0.1,-37.3768,
8.8,0.1,-37.9508,
8.9,0.1,-38.5248,
9,0.1,-39.0987,
9.1,0.1,-39.6727,
9.2,0.1,-40.2467,
9.3,0.1,-40.8206,
9.4,0.1,-41.3946,
9.5,0.1,-41.9686,
9.6,0.1,-42.5425,
9.7,0.1,-43.1165,
9.8,0.1,-43.6905,
9.9,0.1,-44.2644,
10,0.1,-44.8384,
10.1,0.1,-45.4124,
10.2,0.1,-45.9863,
10.3,0.1,-46.5603,
10.4,0.1,-47.1343,
10.5,0.1,-47.7082,
10.6,0.1,-48.2822,
10.7,0.1,-48.8562,
10.8,0.1,-49.4301,
10.9,0.1,-50.0041,
11,0.1,-50.5781,
11.1,0.1,-51.152,
11.2,0.1,-51.726,
11.3,0.1,-52.3,
11.4,0.1,-52.8739,
11.5,0.1,-53.4479,
11.6,0.1,-54.0219,
11.7,0.1,-54.5958,
11.8,0.1,-55.1698,
11.9,0.1,-55.7438,
12,0.1,-56.3177,
4.9,0.15,-19.2548,
5,0.15,-19.8287,
5.1,0.15,-20.4027,
5.2,0.15,-20.9767,
5.3,0.15,-21.5506,
5.4,0.15,-22.1246,
5.5,0.15,-22.6986,
5.6,0.15,-23.2725,
5.7,0.15,-23.8465,
5.8,0.15,-24.4205,
5.9,0.15,-24.9944,
6,0.15,-25.5684,
6.1,0.15,-26.1424,
6.2,0.15,-26.7163,
6.3,0.15,-27.2903,
6.4,0.15,-27.8643,
6.5,0.15,-28.4382,
6.6,0.15,-29.0122,
6.7,0.15,-29.5862,
6.8,0.15,-30.1601,
6.9,0.15,-30.7341,
7,0.15,-31.3081,
